iter	Passed	Remaining
292	819	1976
293	823	1976
294	825	1971
295	827	1967
296	828	1962
297	830	1956
298	831	1950
299	833	1944
300	834	1938
301	837	1935
302	839	1930
303	840	1924
304	841	1918
305	843	1912
306	844	1906
307	846	1901
308	847	1895
309	849	1890
310	852	1888
311	854	1883
312	855	1877
313	856	1872
314	858	1867
315	860	1862
316	863	1861
317	867	1860
318	869	1856
319	873	1857
320	875	1852
321	878	1849
322	879	1844
323	883	1842
324	885	1838
325	886	1833
326	888	1828
327	890	1823
328	891	1818
329	893	1813
330	897	1813
331	899	1809
332	900	1803
333	901	1798
334	903	1792
335	904	1787
336	905	1782
337	907	1776
338	908	1771
339	909	1766
340	912	1762
341	913	1758
342	915	1752
343	916	1747
344	917	1741
345	919	1737
346	920	1731
347	921	1726
348	922	1721
349	924	1716
350	925	1711
351	927	1707
352	928	1702
353	930	1697
354	931	1692
355	932	1687
356	934	1682
357	935	1677
358	936	1673
359	938	1668
360	939	1663
361	941	1659
362	943	1655
363	944	1650
364	945	1645
365	947	1640
366	948	1636
367	949	1631
368	951	1626
369	952	1621
370	953	1617
371	956	1614
372	958	1610
373	959	1605
374	960	1601
375	962	1596
376	963	1591
377	964	1587
378	965	1582
379	967	1577
380	968	1573
381	969	1568
382	972	1566
383	973	1561
384	974	1557
385	976	1552
386	977	1548
387	978	1543
388	980	1539
389	981	1535
390	982	1530
391	984	1526
392	986	1523
393	988	1519
394	989	1515
395	990	1511
396	992	1506
397	993	1502
398	994	1498
399	995	1493
400	997	1489
401	998	1485
402	1000	1482
403	1002	1479
404	1004	1475
405	1006	1472
406	1008	1469
407	1009	1465
408	1011	1461
409	1013	1458
410	1016	1456
411	1017	1452
412	1018	1448
413	1020	1444
414	1021	1440
415	1022	1435
416	1024	1431
417	1025	1427
418	1026	1423
419	1028	1419
420	1030	1417
421	1032	1413
422	1033	1409
423	1034	1405
424	1036	1401
425	1037	1397
426	1038	1393
427	1039	1389
428	1041	1385
429	1042	1381
430	1044	1378
431	1046	1375
432	1047	1371
433	1048	1367
434	1049	1363
435	1051	1359
436	1052	1355
437	1053	1352
438	1055	1348
439	1056	1344
440	1058	1341
441	1060	1338
442	1061	1334
443	1063	1331
444	1064	1327
445	1065	1323
446	1066	1319
447	1068	1316
